omega,A_peak,A1
56440.7787296545,4.42130189518483e-05,4.42130227378399e-05
56440.7789008281,4.42130200383244e-05,4.42130238243531e-05
56440.7790720012,4.42130211248005e-05,4.42130249108664e-05
56440.7794143502,4.42130232977524e-05,4.42130270838926e-05
56440.7800990435,4.42130276436567e-05,4.42130314299455e-05
56440.7814684332,4.42130363354648e-05,4.42130401220508e-05
56440.784207208,4.42130537190814e-05,4.42130575062618e-05
56440.7896847507,4.42130884863145e-05,4.42130922746838e-05
56440.8006398108,4.42131580207804e-05,4.42131618115282e-05
56440.8225498156,4.42132970897132e-05,4.42133008852202e-05
56440.8663693703,4.42135752275802e-05,4.42135790326147e-05
56440.9540066596,4.42141315033215e-05,4.42141353274468e-05
56441.1292739617,4.42152440548313e-05,4.42152479172825e-05
56441.479779463,4.4217469157961e-05,4.42174730976401e-05
56442.1806740737,4.42219193646583e-05,4.42219234610988e-05
56443.5819979084,4.4230819779788e-05,4.42308241989764e-05
56446.3827854724,4.42486206168556e-05,4.42486257184669e-05
56451.9769316027,4.42842223171734e-05,4.42842289315484e-05
56463.1355988974,4.4355425812725e-05,4.43554360459786e-05
56485.3351584276,4.44978331141486e-05,4.44978529719975e-05
56529.2688994408,4.47826484002646e-05,4.47826971621162e-05
56615.3194876347,4.53522773688147e-05,4.53524234174624e-05
56780.4924154203,4.64919510614814e-05,4.64920015059223e-05
57085.5848430659,4.87712906045287e-05,4.87714789899298e-05
57611.0628845185,5.33305694705074e-05,5.33305950396935e-05
58122.9799273618,5.87632657062476e-05,5.87635378417557e-05
58542.3350516966,6.41923589438747e-05,6.41923871483972e-05
58892.1904844502,6.96157172918023e-05,6.96157644004633e-05
59188.5469031527,7.50323369681091e-05,7.50326471901556e-05
59442.848583634,8.04421780300742e-05,8.04422025925892e-05
59663.4952456149,8.58436299952428e-05,8.58437037019051e-05
59856.7903900301,9.12361442629839e-05,9.12364855885629e-05
60027.5563732682,9.66199008032037e-05,9.66199210055951e-05
60179.5451027948,0.000101993300601984,0.000101993406472843
60315.7625299811,0.000107357779999022,0.000107358146213765
60439.806585943,0.000112770363780954,0.000112770386974968
60553.833431237,0.0001182588687544,0.00011825894830435
60659.2492214484,0.000123836361817425,0.000123836835076548
60757.0284960505,0.000129506067346838,0.000129506318652912
60847.9302601756,0.000135264728306532,0.00013526476841331
60932.6258693065,0.000141109904466743,0.000141109908196868
61011.5982543507,0.000147030972439745,0.000147031053101161
61085.3015639129,0.000153017950895809,0.000153018171701302
61154.1299979646,0.000159058817920062,0.00015905920433818
61218.4423467013,0.000165140929055259,0.000165141480998092
61278.5379310723,0.000171248177893092,0.000171248883640427
61334.7553006769,0.000177370838741809,0.000177371668465828
61387.3513091836,0.000183493423268204,0.000183494196699356
61436.5771478571,0.000189601623437129,0.000189602352664531
61482.7074502574,0.000195687282178754,0.000195687971663773
61565.0535337156,0.000200690705360193,0.000201522254764294
61715.9224490617,0.000202088646080264,0.00020575437895216
61840.3915127653,0.00020303969053631,0.000209460196421809
61947.2188230987,0.000203705715582364,0.000212778134788104
62038.0347827054,0.000204276931171034,0.000215685748286057
62115.6633592506,0.000205110416994426,0.000218205337896525
62184.5888775513,0.000205799908758852,0.000220417777320178
62247.9759119112,0.000206333528876526,0.000222407302462292
62307.0255898157,0.000206753966201922,0.000224238969950632
62361.6704153361,0.000207104293377325,0.000225926491599027
62412.1512610251,0.000207439143469432,0.000227473545602705
62458.9200194726,0.000207833948842919,0.000228885413891787
62502.4996564421,0.000208269143033326,0.000230168625636433
62543.352664974,0.000208689302450564,0.000231333501886126
62581.8506950415,0.000209071141383577,0.000232389311638952
62618.256787888,0.000209408839458103,0.000233341909407716
62652.7770794031,0.00020970646141851,0.000234198101610172
62685.5492224897,0.000209968812744057,0.000234960678279851
62716.7309517091,0.000210203405577198,0.00023563460231412
62746.4338561353,0.000210415724909867,0.000236222449253564
62774.7847382131,0.000210610751522235,0.000236727244814033
62801.911126593,0.000210792767067927,0.000237153275539499
62827.9131210967,0.000210964885860621,0.00023750523240585
62852.9213497083,0.000211128026012008,0.000237785038675375
62877.0575887807,0.000211285680115173,0.000237999365247394
62900.4090707914,0.000211437428121857,0.000238150409741265
62923.1043066779,0.000211585282314384,0.000238244113815658
62945.2141621178,0.000211729841824092,0.00023828525761136
62966.8193703705,0.000211870111361382,0.000238277258160661
62987.977655041,0.000212008355190865,0.000238226546584883
63008.7417556098,0.00021214464679174,0.000238138669950137
63029.1463994796,0.000212277874403208,0.000238019371983145
63049.2101377859,0.000212409191129898,0.000237873325061866
63068.9722553187,0.000212536387080196,0.00023770648053611
63088.4953095824,0.000212662872852317,0.000237523187104085
63107.9279679511,0.000212786315462128,0.00023732527963194
63127.2565579975,0.000212908365719008,0.000237116106260312
63146.4504530222,0.000213027419281609,0.000236898884478592
63165.5145967456,0.000213142718151956,0.000236674267661872
63184.4256491693,0.000213253970997134,0.000236444113030191
63203.1787620732,0.000213361381452109,0.000236208945274809
63221.8062731183,0.00021346575501022,0.000235967087535333
63240.2999746749,0.000213566002687826,0.000235719066482581
63258.6992232541,0.000213662653600604,0.000235462889643415
63277.0551360447,0.000213756354363688,0.000235196118776256
63295.3960932198,0.000213848226105023,0.000234917762756946
63313.778519207,0.00021393915184949,0.00023462563019855
63332.2472084031,0.000214026097400238,0.000234316739417387
63350.8824730378,0.000214112330695536,0.000233989789091034
63369.7495914701,0.000214198676006524,0.0002336433201003
63388.8969532017,0.000214284949353331,0.000233275130728204
63408.4689537115,0.000214373960586584,0.000232879504477413
63431.073742153,0.00021449575825856,0.000232313066872499
63455.6317987288,0.000214639720596667,0.000231651847719033
63480.2766093472,0.000214780521008304,0.000231005701142355
63504.7511709217,0.000214914835962885,0.000230388240976328
63528.8410870151,0.000215036937677077,0.000229805851285369
63552.3808144493,0.000215144146558933,0.000229260615712943
63575.0461795167,0.000215233742357856,0.000228759069145058
63596.7922116852,0.000215301456047194,0.000228295871247536
63617.6424220968,0.000215345796788421,0.00022786247859675
63637.618743003,0.000215364578128021,0.0002274506204189
63657.0943580913,0.000215361943480731,0.000227033471679797
63692.3847446748,0.000215528731413914,0.000225680003156606
63737.7244973802,0.000215807689460194,0.000223853798518251
63783.8823725519,0.000216081415092127,0.000222146259494247
63829.018112085,0.000216334815841412,0.000220646167901023
63871.5714891005,0.000216553278909101,0.000219390549565208
63911.1240067116,0.000216736496972205,0.00021834796651078
63947.8436717925,0.000216878897103129,0.000217467893287849
63982.3648908209,0.000216998219053885,0.000216695775453884
64015.4204603956,0.000217095706359225,0.000215984773804541
64047.8062154438,0.000217187865868421,0.000215294596474643
64080.27552922,0.00021727402763122,0.000214592808170925
64114.1432092437,0.000217377396008622,0.000213835209376957
64150.7354831902,0.000217516052666607,0.000212985342807946
64191.9484205805,0.000217712150774831,0.000211999370639853
64239.2139942238,0.000217992489195529,0.00021086946013657
64291.5407950762,0.000218341788943115,0.000209672107842751
64343.8425788475,0.000218693040154789,0.000208570510959439
64389.6485710406,0.000218945994410781,0.000207693165878833
64428.382170725,0.000219100334267811,0.000207000675794954
64459.8579975405,0.000219143760254253,0.000206455204965572
64486.2766411893,0.00021910944997219,0.000205990252551873
64508.1461477084,0.000218997223009172,0.000205579476876141
64526.5047727142,0.000218823705752636,0.000205197309837975
64541.0589118044,0.000218582392152859,0.000204839018009665
64552.826614743,0.000218289484266403,0.00020448387889616
64561.1274783797,0.000217934199280623,0.000204137848665924
64566.3212016185,0.000217523436226126,0.00020379078102797
64567.7939792454,0.000217049358002782,0.000203448532633711
64565.8643646314,0.000216519590315906,0.000203103359218689
64560.2472908932,0.000215932442055655,0.000202757335196995
64550.8514199782,0.000215290099601163,0.000202410532386994
64537.2167559631,0.000214589332266452,0.0002020671314972
64519.8807236578,0.000213842400066989,0.000201720487101066
64498.1207855394,0.000213042445012037,0.000201379613579758
64472.0149362895,0.000212195229394343,0.000201045461553592
64441.3009112079,0.000211301396277594,0.000200723128356463
64405.9652682325,0.000210364346335788,0.000200414157764136
64365.3694208394,0.00020937751741403,0.000200129761153702
64319.5298054,0.000208342957223388,0.000199869820390354
64267.8572539007,0.000207253527638313,0.000199637376556372
64208.8857481964,0.000206087745088345,0.000199433909662049
64140.3900012212,0.000204816570703792,0.000199266549277459
64055.4586163239,0.000203349997894662,0.000199188438367219
63919.6582966026,0.00020118618209615,0.000199596793524973
63864.2194168016,0.000200243390093525,0.000200003006599466
63857.6403198744,0.000199738930299029,0.000199739418161694
63858.8755154757,0.000199550846276336,0.000199551514295508
63860.1131177684,0.000199362686450031,0.000199363562689741
63862.5958139794,0.000198986898894179,0.000198987479732796
63867.5913766562,0.000198234516486515,0.000198234597785824
63877.7048285956,0.000196725553325411,0.00019672599471043
63898.4345384053,0.000193697237876353,0.000193697641659424
63942.0187833566,0.000187597845710693,0.000187598195661216
63988.5233400712,0.000181464141264777,0.000181464446419466
64038.1775720966,0.000175307708475477,0.000175307970133557
64091.2360011204,0.000169139974210572,0.000169140188680801
64147.9830421668,0.00016297200571356,0.000162972167386692
64208.6848640987,0.000156819597801546,0.000156819701049184
64273.6337850429,0.000150697828224945,0.000150697874368177
64343.1818595389,0.000144618399713487,0.00014461840595418
64417.6309587886,0.000138599359852806,0.000138599368383888
64497.4202705513,0.000132649278718065,0.000132649368724064
64582.9243865814,0.000126783870689636,0.000126784170762752
64674.6888596569,0.000121009277381757,0.000121009733085284
64773.294903968,0.0001153332946937,0.000115333394010036
64879.4704207235,0.000109758034414046,0.000109758040707123
64994.1736534526,0.000104280287443052,0.000104280539802021
65118.8299483331,9.8885336505459e-05,9.88855141747408e-05
