freq_hz,omega_rad_s,amp_m,amp_h1_m
9.999999999999998863e+02,6.283185307179585834e+03,3.601187486652637888e-07,3.339805246016229634e-07
9.999000000000020236e+02,6.282556988648881088e+03,3.615505690134120298e-07,3.354242780210702381e-07
9.983000000000380396e+02,6.272503892157619703e+03,3.874557761482804034e-07,3.590048435057327379e-07
9.933000000001726448e+02,6.241087965622567935e+03,4.708595854480875750e-07,4.383204345044613338e-07
9.883000000003547711e+02,6.209672039087814483e+03,5.658072061529083315e-07,5.261769367692571314e-07
9.833000000006074970e+02,6.178256112553503954e+03,6.704716113302814545e-07,6.239994677154731147e-07
9.783000000009756150e+02,6.146840186019919201e+03,7.883375433540316723e-07,7.350621664161723154e-07
9.733000000015480282e+02,6.115424259487617746e+03,9.237051936585535420e-07,8.638082215772414748e-07
9.683000000024912879e+02,6.084008332957646417e+03,1.069538835089903908e-06,1.009971190940136227e-06
9.633000000039615998e+02,6.052592406430986557e+03,1.167177479740176313e-06,1.129161051179966531e-06
9.583000000058061687e+02,6.021176479906678651e+03,1.159308937168976487e-06,1.111888596863064344e-06
9.533000000098871851e+02,5.989760553396422438e+03,1.292714591861000326e-06,1.221935029646124159e-06
9.483000000270855026e+02,5.958344626968584635e+03,1.675687194481011618e-06,1.727626914849357412e-06
9.433000001034577053e+02,5.926928700912547356e+03,2.573875968661511664e-06,2.711245666025703463e-06
9.429875001165473805e+02,5.924965205586298907e+03,2.624390507248494264e-06,2.759855264305392611e-06
9.417375001675982276e+02,5.917111224273086009e+03,2.755534827168999529e-06,2.885263090596344946e-06
9.404875002141969844e+02,5.909257242931900691e+03,2.770206620239744678e-06,2.891615447532601403e-06
9.392375002523351668e+02,5.901403261537555409e+03,2.689346420749092289e-06,2.800455932434247042e-06
9.379875002817890390e+02,5.893549280088644991e+03,2.548395557785243488e-06,2.649335949097130169e-06
9.367375003039583135e+02,5.885695298593964253e+03,2.376947838692627052e-06,2.470385098475056351e-06
9.354875003205241910e+02,5.877841317064076065e+03,2.202713178179630538e-06,2.284551330796820370e-06
9.342375003329420906e+02,5.869987335508125398e+03,2.029687504880995379e-06,2.103532860085145488e-06
