omega,A_tipA,A_xr,tipA_Re_0,tipA_Im_0,tipA_Re_1,tipA_Im_1,tipA_Re_2,tipA_Im_2,tipA_Re_3,tipA_Im_3,tipA_Re_4,tipA_Im_4,tipA_Re_5,tipA_Im_5,tipA_Re_6,tipA_Im_6,tipA_Re_7,tipA_Im_7,tipA_Re_8,tipA_Im_8,tipA_Re_9,tipA_Im_9,tipA_Re_10,tipA_Im_10,tipA_Re_11,tipA_Im_11,tipA_Re_12,tipA_Im_12,tipA_Re_13,tipA_Im_13,tipA_Re_14,tipA_Im_14,tipA_Re_15,tipA_Im_15,tipA_Re_16,tipA_Im_16,tipA_Re_17,tipA_Im_17,tipA_Re_18,tipA_Im_18,tipA_Re_19,tipA_Im_19,tipA_Re_20,tipA_Im_20,xr_Re_0,xr_Im_0,xr_Re_1,xr_Im_1,xr_Re_2,xr_Im_2,xr_Re_3,xr_Im_3,xr_Re_4,xr_Im_4,xr_Re_5,xr_Im_5,xr_Re_6,xr_Im_6,xr_Re_7,xr_Im_7,xr_Re_8,xr_Im_8,xr_Re_9,xr_Im_9,xr_Re_10,xr_Im_10,xr_Re_11,xr_Im_11,xr_Re_12,xr_Im_12,xr_Re_13,xr_Im_13,xr_Re_14,xr_Im_14,xr_Re_15,xr_Im_15,xr_Re_16,xr_Im_16,xr_Re_17,xr_Im_17,xr_Re_18,xr_Im_18,xr_Re_19,xr_Im_19,xr_Re_20,xr_Im_20
7.525437163955300639e+04,1.619878375102587416e-05,1.619878375102587416e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.090564757213011043e-06,-3.783681819761564879e-07,3.896272014511271024e-23,1.385611523732624606e-23,-2.690923185278268391e-23,1.395402470477675569e-23,-5.527889118183894047e-23,-2.424842641299713262e-23,-2.127947418407817779e-25,-5.545872807178625900e-25,-1.506007652326563483e-22,3.602133494798800459e-23,-4.281135715268528498e-24,7.230412981611636257e-24,-2.516118824217809442e-23,-1.693201904780225783e-23,1.229607049203907685e-23,-1.311631785916341279e-24,-3.606347304089031328e-24,-1.160909675758816729e-24,-5.707660922469500727e-24,-4.585356448795445009e-24,3.317783559381590925e-25,-2.490012505241244148e-24,8.549695641654795396e-24,-2.381990092823933768e-23,-6.698556611131083059e-25,-1.040037738450637178e-24,-2.080874609978634359e-24,2.503729312862443201e-25,-2.083802566290178600e-24,-9.753078658407264414e-25,5.180531743593468508e-24,-1.299547699981479023e-23,8.041527105569623856e-25,2.702628877100422138e-24,-3.976946891776439835e-24,-7.093731943620918939e-24,9.014638878974800658e-24,-2.104317633787937241e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.090564757213011043e-06,-3.783681819761564879e-07,3.896272014511271024e-23,1.385611523732624606e-23,-2.690923185278268391e-23,1.395402470477675569e-23,-5.527889118183894047e-23,-2.424842641299713262e-23,-2.127947418407817779e-25,-5.545872807178625900e-25,-1.506007652326563483e-22,3.602133494798800459e-23,-4.281135715268528498e-24,7.230412981611636257e-24,-2.516118824217809442e-23,-1.693201904780225783e-23,1.229607049203907685e-23,-1.311631785916341279e-24,-3.606347304089031328e-24,-1.160909675758816729e-24,-5.707660922469500727e-24,-4.585356448795445009e-24,3.317783559381590925e-25,-2.490012505241244148e-24,8.549695641654795396e-24,-2.381990092823933768e-23,-6.698556611131083059e-25,-1.040037738450637178e-24,-2.080874609978634359e-24,2.503729312862443201e-25,-2.083802566290178600e-24,-9.753078658407264414e-25,5.180531743593468508e-24,-1.299547699981479023e-23,8.041527105569623856e-25,2.702628877100422138e-24,-3.976946891776439835e-24,-7.093731943620918939e-24,9.014638878974800658e-24,-2.104317633787937241e-24
7.519167368029533827e+04,1.629917500006849076e-05,1.629917500006849076e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.140641505480333468e-06,-3.821453776755993842e-07,3.873925347377222430e-23,1.377509042966573644e-23,-2.718957116372362390e-23,1.410770857535222834e-23,-5.426040815323405589e-23,-2.396258414619016601e-23,-2.500544755796041415e-25,-5.775807350751817362e-25,-1.584159986100913312e-22,3.443720873918843593e-23,-4.133973189407242405e-24,7.055789532777900484e-24,-2.577291976545901844e-23,-1.741293443336134826e-23,1.199775016862039773e-23,-1.276842871202799966e-24,-3.716680247959419541e-24,-1.187362240145476178e-24,-5.498465022606663140e-24,-4.468671992994460169e-24,3.201872294287282228e-25,-2.595084879216188634e-24,8.526329445604036271e-24,-2.268077713178926221e-23,-7.229706067452961559e-25,-1.078758945641356035e-24,-1.987760799746199230e-24,2.000681328198941081e-25,-2.204876634918608447e-24,-9.871442185156767209e-25,5.113188815878363790e-24,-1.235347195134898945e-23,8.639402575598214710e-25,2.818687011006835321e-24,-3.786217782996650824e-24,-6.816476155881465579e-24,9.420681795699566995e-24,-2.186157029342696396e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.140641505480333468e-06,-3.821453776755993842e-07,3.873925347377222430e-23,1.377509042966573644e-23,-2.718957116372362390e-23,1.410770857535222834e-23,-5.426040815323405589e-23,-2.396258414619016601e-23,-2.500544755796041415e-25,-5.775807350751817362e-25,-1.584159986100913312e-22,3.443720873918843593e-23,-4.133973189407242405e-24,7.055789532777900484e-24,-2.577291976545901844e-23,-1.741293443336134826e-23,1.199775016862039773e-23,-1.276842871202799966e-24,-3.716680247959419541e-24,-1.187362240145476178e-24,-5.498465022606663140e-24,-4.468671992994460169e-24,3.201872294287282228e-25,-2.595084879216188634e-24,8.526329445604036271e-24,-2.268077713178926221e-23,-7.229706067452961559e-25,-1.078758945641356035e-24,-1.987760799746199230e-24,2.000681328198941081e-25,-2.204876634918608447e-24,-9.871442185156767209e-25,5.113188815878363790e-24,-1.235347195134898945e-23,8.639402575598214710e-25,2.818687011006835321e-24,-3.786217782996650824e-24,-6.816476155881465579e-24,9.420681795699566995e-24,-2.186157029342696396e-24
7.506627862078542239e+04,1.650301424327193093e-05,1.650301424327193093e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.242317143724264716e-06,-3.898730613558353344e-07,3.829469563724568625e-23,1.361364126575872031e-23,-2.775744422722674370e-23,1.441845596937485827e-23,-5.232149659559407001e-23,-2.340102957224565901e-23,-3.248497364574694538e-25,-6.238974173839526365e-25,-1.760132750098719278e-22,2.955789827332996909e-23,-3.841459947626554437e-24,6.711263538455101047e-24,-2.704982416938920806e-23,-1.843989106849223875e-23,1.142138667054257290e-23,-1.215025340564721233e-24,-3.944391244348062656e-24,-1.243895925196167153e-24,-5.114453996246542482e-24,-4.242237017397585362e-24,2.982456504033271452e-25,-2.810737164064149330e-24,8.381302500943165691e-24,-2.064107247353451584e-23,-8.308289002447259762e-25,-1.159061792971441329e-24,-1.817206333409546387e-24,1.216303394825706258e-25,-2.453430129691032685e-24,-1.014603830658150001e-24,4.933670059506531926e-24,-1.120300646347231358e-23,9.844077414787341188e-25,3.062908245902792348e-24,-3.448167493405745353e-24,-6.289666886303239534e-24,1.029993431569748994e-23,-2.334895371339256511e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.242317143724264716e-06,-3.898730613558353344e-07,3.829469563724568625e-23,1.361364126575872031e-23,-2.775744422722674370e-23,1.441845596937485827e-23,-5.232149659559407001e-23,-2.340102957224565901e-23,-3.248497364574694538e-25,-6.238974173839526365e-25,-1.760132750098719278e-22,2.955789827332996909e-23,-3.841459947626554437e-24,6.711263538455101047e-24,-2.704982416938920806e-23,-1.843989106849223875e-23,1.142138667054257290e-23,-1.215025340564721233e-24,-3.944391244348062656e-24,-1.243895925196167153e-24,-5.114453996246542482e-24,-4.242237017397585362e-24,2.982456504033271452e-25,-2.810737164064149330e-24,8.381302500943165691e-24,-2.064107247353451584e-23,-8.308289002447259762e-25,-1.159061792971441329e-24,-1.817206333409546387e-24,1.216303394825706258e-25,-2.453430129691032685e-24,-1.014603830658150001e-24,4.933670059506531926e-24,-1.120300646347231358e-23,9.844077414787341188e-25,3.062908245902792348e-24,-3.448167493405745353e-24,-6.289666886303239534e-24,1.029993431569748994e-23,-2.334895371339256511e-24
7.494088475987320999e+04,1.671103317491307952e-05,1.671103317491307952e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.346074016320193905e-06,-3.978397081107620190e-07,3.785323309720163893e-23,1.345297328528085247e-23,-2.833517134233898809e-23,1.473382357853704988e-23,-5.050292974150673880e-23,-2.285343982913511375e-23,-4.000432781405587110e-25,-6.706744537467217346e-25,-1.965321684389204428e-22,2.138806800785034659e-23,-3.551133633861213507e-24,6.372630328694950995e-24,-2.840378662633932194e-23,-1.956402542385118918e-23,1.086997763441267333e-23,-1.162510265844652289e-24,-4.182262482237383602e-24,-1.305754902215511145e-24,-4.770300730475222671e-24,-4.025209246524982230e-24,2.780957461521836900e-25,-3.034401124306536328e-24,8.147040287484088246e-24,-1.887248587754522623e-23,-9.411192814314033688e-25,-1.243542250653469942e-24,-1.665815539113082918e-24,6.557979536592464191e-26,-2.711496449195474183e-24,-1.047615178970857835e-24,4.714854570335031192e-24,-1.020371118838554478e-23,1.106020287466456610e-24,3.325304439980693823e-24,-3.158802814244954482e-24,-5.796525258210229105e-24,1.128296025322317590e-23,-2.455908355111131172e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.346074016320193905e-06,-3.978397081107620190e-07,3.785323309720163893e-23,1.345297328528085247e-23,-2.833517134233898809e-23,1.473382357853704988e-23,-5.050292974150673880e-23,-2.285343982913511375e-23,-4.000432781405587110e-25,-6.706744537467217346e-25,-1.965321684389204428e-22,2.138806800785034659e-23,-3.551133633861213507e-24,6.372630328694950995e-24,-2.840378662633932194e-23,-1.956402542385118918e-23,1.086997763441267333e-23,-1.162510265844652289e-24,-4.182262482237383602e-24,-1.305754902215511145e-24,-4.770300730475222671e-24,-4.025209246524982230e-24,2.780957461521836900e-25,-3.034401124306536328e-24,8.147040287484088246e-24,-1.887248587754522623e-23,-9.411192814314033688e-25,-1.243542250653469942e-24,-1.665815539113082918e-24,6.557979536592464191e-26,-2.711496449195474183e-24,-1.047615178970857835e-24,4.714854570335031192e-24,-1.020371118838554478e-23,1.106020287466456610e-24,3.325304439980693823e-24,-3.158802814244954482e-24,-5.796525258210229105e-24,1.128296025322317590e-23,-2.455908355111131172e-24
7.481549216023943154e+04,1.692336112525580474e-05,1.692336112525580474e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.451976408888847261e-06,-4.060552364383669211e-07,3.741478110156156309e-23,1.329306353082305622e-23,-2.892307764027388748e-23,1.505395255978389741e-23,-4.879354607378091597e-23,-2.232011331901642572e-23,-4.756722390994452869e-25,-7.179372936361047378e-25,-2.201274327542459027e-22,8.158084848805066715e-24,-3.262726457802949549e-24,6.039431792851985355e-24,-2.984245278059029774e-23,-2.079981798085212734e-23,1.034125423737705883e-23,-1.118209691340574228e-24,-4.431306927313361008e-24,-1.373607691234740896e-24,-4.460001811966918187e-24,-3.817474180294475483e-24,2.599372094885610402e-25,-3.266955009150611844e-24,7.858098419490329733e-24,-1.732771536279979151e-23,-1.054172843834334538e-24,-1.332689703926306063e-24,-1.531232156724062283e-24,2.564175613750163340e-26,-2.980359973278455136e-24,-1.086895101760733011e-24,4.473441359325078979e-24,-9.328749227170950494e-24,1.228605924291857950e-24,3.608712815334844048e-24,-2.909267309529150591e-24,-5.333299938531574391e-24,1.239020663182355927e-23,-2.535988651809041311e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.451976408888847261e-06,-4.060552364383669211e-07,3.741478110156156309e-23,1.329306353082305622e-23,-2.892307764027388748e-23,1.505395255978389741e-23,-4.879354607378091597e-23,-2.232011331901642572e-23,-4.756722390994452869e-25,-7.179372936361047378e-25,-2.201274327542459027e-22,8.158084848805066715e-24,-3.262726457802949549e-24,6.039431792851985355e-24,-2.984245278059029774e-23,-2.079981798085212734e-23,1.034125423737705883e-23,-1.118209691340574228e-24,-4.431306927313361008e-24,-1.373607691234740896e-24,-4.460001811966918187e-24,-3.817474180294475483e-24,2.599372094885610402e-25,-3.266955009150611844e-24,7.858098419490329733e-24,-1.732771536279979151e-23,-1.054172843834334538e-24,-1.332689703926306063e-24,-1.531232156724062283e-24,2.564175613750163340e-26,-2.980359973278455136e-24,-1.086895101760733011e-24,4.473441359325078979e-24,-9.328749227170950494e-24,1.228605924291857950e-24,3.608712815334844048e-24,-2.909267309529150591e-24,-5.333299938531574391e-24,1.239020663182355927e-23,-2.535988651809041311e-24
7.469010088853257184e+04,1.714013279390852443e-05,1.714013279390852443e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.560091271145266781e-06,-4.145300842441281639e-07,3.697925680185589770e-23,1.313388943486342470e-23,-2.952150185836898007e-23,1.537898923449477627e-23,-4.718349061183403390e-23,-2.180112715230853737e-23,-5.517743563705312702e-25,-7.657121913187960086e-25,-2.463151146622718639e-22,-1.275726175681048209e-23,-2.975977604601112749e-24,5.711234911124530169e-24,-3.137430940460480313e-23,-2.216462275066589369e-23,9.833179098715296490e-24,-1.081196251429574808e-24,-4.692658084824246884e-24,-1.448235882074570416e-24,-4.178640592420455909e-24,-3.618695837478261556e-24,2.440166028898677369e-25,-3.509376806225441951e-24,7.536972188585900491e-24,-1.596844172807461557e-23,-1.170344052185353757e-24,-1.427063907120696810e-24,-1.411154517281340960e-24,-2.561342739958543885e-27,-3.261461330691555549e-24,-1.133316592549355308e-24,4.220091817542432175e-24,-8.556540516798972839e-24,1.351805216592473105e-24,3.916518860811771798e-24,-2.692627976619385204e-24,-4.896521371650283023e-24,1.364674297173247143e-23,-2.555546650897042940e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.560091271145266781e-06,-4.145300842441281639e-07,3.697925680185589770e-23,1.313388943486342470e-23,-2.952150185836898007e-23,1.537898923449477627e-23,-4.718349061183403390e-23,-2.180112715230853737e-23,-5.517743563705312702e-25,-7.657121913187960086e-25,-2.463151146622718639e-22,-1.275726175681048209e-23,-2.975977604601112749e-24,5.711234911124530169e-24,-3.137430940460480313e-23,-2.216462275066589369e-23,9.833179098715296490e-24,-1.081196251429574808e-24,-4.692658084824246884e-24,-1.448235882074570416e-24,-4.178640592420455909e-24,-3.618695837478261556e-24,2.440166028898677369e-25,-3.509376806225441951e-24,7.536972188585900491e-24,-1.596844172807461557e-23,-1.170344052185353757e-24,-1.427063907120696810e-24,-1.411154517281340960e-24,-2.561342739958543885e-27,-3.261461330691555549e-24,-1.133316592549355308e-24,4.220091817542432175e-24,-8.556540516798972839e-24,1.351805216592473105e-24,3.916518860811771798e-24,-2.692627976619385204e-24,-4.896521371650283023e-24,1.364674297173247143e-23,-2.555546650897042940e-24
7.456471101566450670e+04,1.736152413223484878e-05,1.736152413223484878e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.670488355856330445e-06,-4.232752417748169935e-07,3.654657918909237723e-23,1.297542880817385944e-23,-3.013079707892468349e-23,1.570908533728209145e-23,-4.566403256654481476e-23,-2.129639438953861122e-23,-6.283880378989434018e-25,-8.140262639704777289e-25,-2.730783233130293344e-22,-4.491841646868973679e-23,-2.690632380365588500e-24,5.387629369590351140e-24,-3.300873960189883619e-23,-2.367938313710110173e-23,9.343916778126421161e-24,-1.050676876814206562e-24,-4.967588575271545545e-24,-1.530557517540783575e-24,-3.922161680395190383e-24,-3.428413736078247651e-24,2.306371683346576794e-25,-3.762760476998465439e-24,7.198350481902609575e-24,-1.476372783199805063e-23,-1.290013978378138529e-24,-1.527308151921381969e-24,-1.303508695592881030e-24,-2.211479350224878789e-26,-3.556425781367467938e-24,-1.187945434579042495e-24,3.961589551219489451e-24,-7.869744473804750777e-24,1.474988298419283150e-24,4.252790713317220367e-24,-2.503408038920360913e-24,-4.483035517247984308e-24,1.508306129488652582e-23,-2.485258334555516633e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.670488355856330445e-06,-4.232752417748169935e-07,3.654657918909237723e-23,1.297542880817385944e-23,-3.013079707892468349e-23,1.570908533728209145e-23,-4.566403256654481476e-23,-2.129639438953861122e-23,-6.283880378989434018e-25,-8.140262639704777289e-25,-2.730783233130293344e-22,-4.491841646868973679e-23,-2.690632380365588500e-24,5.387629369590351140e-24,-3.300873960189883619e-23,-2.367938313710110173e-23,9.343916778126421161e-24,-1.050676876814206562e-24,-4.967588575271545545e-24,-1.530557517540783575e-24,-3.922161680395190383e-24,-3.428413736078247651e-24,2.306371683346576794e-25,-3.762760476998465439e-24,7.198350481902609575e-24,-1.476372783199805063e-23,-1.290013978378138529e-24,-1.527308151921381969e-24,-1.303508695592881030e-24,-2.211479350224878789e-26,-3.556425781367467938e-24,-1.187945434579042495e-24,3.961589551219489451e-24,-7.869744473804750777e-24,1.474988298419283150e-24,4.252790713317220367e-24,-2.503408038920360913e-24,-4.483035517247984308e-24,1.508306129488652582e-23,-2.485258334555516633e-24
7.443932261713157641e+04,1.758766321003704195e-05,1.758766321003704195e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.783240366549865973e-06,-4.323022870100061169e-07,3.611666903211797439e-23,1.281765982859525125e-23,-3.075133151608758946e-23,1.604439827870034118e-23,-4.422741213085983136e-23,-2.080570767872674172e-23,-7.055524372440645662e-25,-8.629075532218456372e-25,-2.953387096078589937e-22,-9.211433822088746995e-23,-2.406441389815686744e-24,5.068225388770824663e-24,-3.475604740705600097e-23,-2.536956237212678311e-23,8.871808452246741919e-24,-1.025971369463646600e-24,-5.257531964475702779e-24,-1.621656311046797356e-24,-3.687196865283116329e-24,-3.246104385713227393e-24,2.201712213066392247e-25,-4.028335190930608432e-24,6.851818731707844612e-24,-1.368856597191416932e-23,-1.413593676866784690e-24,-1.634165423762926178e-24,-1.206495082621256511e-24,-3.521801201729127455e-26,-3.867096829257321956e-24,-1.252087687977567470e-24,3.702204622458393461e-24,-7.254386266345697615e-24,1.597132320617670803e-24,4.622451234955427759e-24,-2.337244158857898930e-24,-4.090000579814607997e-24,1.673549270961270164e-23,-2.280782521147352885e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.783240366549865973e-06,-4.323022870100061169e-07,3.611666903211797439e-23,1.281765982859525125e-23,-3.075133151608758946e-23,1.604439827870034118e-23,-4.422741213085983136e-23,-2.080570767872674172e-23,-7.055524372440645662e-25,-8.629075532218456372e-25,-2.953387096078589937e-22,-9.211433822088746995e-23,-2.406441389815686744e-24,5.068225388770824663e-24,-3.475604740705600097e-23,-2.536956237212678311e-23,8.871808452246741919e-24,-1.025971369463646600e-24,-5.257531964475702779e-24,-1.621656311046797356e-24,-3.687196865283116329e-24,-3.246104385713227393e-24,2.201712213066392247e-25,-4.028335190930608432e-24,6.851818731707844612e-24,-1.368856597191416932e-23,-1.413593676866784690e-24,-1.634165423762926178e-24,-1.206495082621256511e-24,-3.521801201729127455e-26,-3.867096829257321956e-24,-1.252087687977567470e-24,3.702204622458393461e-24,-7.254386266345697615e-24,1.597132320617670803e-24,4.622451234955427759e-24,-2.337244158857898930e-24,-4.090000579814607997e-24,1.673549270961270164e-23,-2.280782521147352885e-24
7.431393577336351154e+04,1.781868784175867683e-05,1.781868784175867683e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-8.898423114608803233e-06,-4.416234237214844359e-07,3.568944881834611977e-23,1.266056103016126283e-23,-3.138348935443341056e-23,1.638509142275102225e-23,-4.286671122237502261e-23,-2.032877258098450337e-23,-7.833075309550922440e-25,-9.123850904387599877e-25,-3.034601767410728627e-22,-1.555715261466190633e-22,-2.123159741819206273e-24,4.752651740647671289e-24,-3.662742262998405178e-23,-2.726636331711258662e-23,8.415350112726375888e-24,-1.006494857959377910e-24,-5.564108459146270468e-24,-1.722818404608407671e-24,-3.470929978130303200e-24,-3.071219988938102974e-24,2.130758877959808566e-25,-4.307488214855467039e-24,6.503594225805131573e-24,-1.272266468378446985e-23,-1.541527618688120577e-24,-1.748498343778547055e-24,-1.118580559268684712e-24,-4.345716100213417024e-26,-4.195576054406094717e-24,-1.327351700165842791e-24,3.444564246813083594e-24,-6.699147579015313483e-24,1.716638794550653578e-24,5.031498860836315480e-24,-2.190632795078318133e-24,-3.714865682234779121e-24,1.864535051614274524e-23,-1.874423123491645755e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-8.898423114608803233e-06,-4.416234237214844359e-07,3.568944881834611977e-23,1.266056103016126283e-23,-3.138348935443341056e-23,1.638509142275102225e-23,-4.286671122237502261e-23,-2.032877258098450337e-23,-7.833075309550922440e-25,-9.123850904387599877e-25,-3.034601767410728627e-22,-1.555715261466190633e-22,-2.123159741819206273e-24,4.752651740647671289e-24,-3.662742262998405178e-23,-2.726636331711258662e-23,8.415350112726375888e-24,-1.006494857959377910e-24,-5.564108459146270468e-24,-1.722818404608407671e-24,-3.470929978130303200e-24,-3.071219988938102974e-24,2.130758877959808566e-25,-4.307488214855467039e-24,6.503594225805131573e-24,-1.272266468378446985e-23,-1.541527618688120577e-24,-1.748498343778547055e-24,-1.118580559268684712e-24,-4.345716100213417024e-26,-4.195576054406094717e-24,-1.327351700165842791e-24,3.444564246813083594e-24,-6.699147579015313483e-24,1.716638794550653578e-24,5.031498860836315480e-24,-2.190632795078318133e-24,-3.714865682234779121e-24,1.864535051614274524e-23,-1.874423123491645755e-24
7.418855057010309247e+04,1.805475732853531267e-05,1.805475732853531267e-05,-4.972164979718546166e-22,0.000000000000000000e+00,-9.016115686479235465e-06,-4.512515224350248815e-07,3.526484269677994996e-23,1.250411129257321245e-23,-3.202767164329068785e-23,1.673133438016574336e-23,-4.157574399941284117e-23,-1.986523304475993271e-23,-8.616941989417611151e-25,-9.624889660668136943e-25,-2.849389660281644405e-22,-2.284420620303743580e-22,-1.840546278618422114e-24,4.440553932063202578e-24,-3.863479614234667160e-23,-2.940834169243482041e-23,7.973173738377175056e-24,-9.917433634464304439e-25,-5.889155178668340042e-24,-1.835578948646744579e-24,-3.270991323314195854e-24,-2.903212427257176421e-24,2.099132002351673909e-25,-4.601792271719833246e-24,6.157652675310249714e-24,-1.184947323246438027e-23,-1.674297032960410849e-24,-1.871313940096996212e-24,-1.038470029523955354e-24,-4.798902808419187783e-26,-4.544270233541423077e-24,-1.415729749622996978e-24,3.190214451309668527e-24,-6.194805844356294896e-24,1.831058491091322983e-24,5.487290818434357469e-24,-2.060740887800161391e-24,-3.355341810315335790e-24,2.085468713480169723e-23,-1.162130287914536558e-24,-4.972164979718546166e-22,0.000000000000000000e+00,-9.016115686479235465e-06,-4.512515224350248815e-07,3.526484269677994996e-23,1.250411129257321245e-23,-3.202767164329068785e-23,1.673133438016574336e-23,-4.157574399941284117e-23,-1.986523304475993271e-23,-8.616941989417611151e-25,-9.624889660668136943e-25,-2.849389660281644405e-22,-2.284420620303743580e-22,-1.840546278618422114e-24,4.440553932063202578e-24,-3.863479614234667160e-23,-2.940834169243482041e-23,7.973173738377175056e-24,-9.917433634464304439e-25,-5.889155178668340042e-24,-1.835578948646744579e-24,-3.270991323314195854e-24,-2.903212427257176421e-24,2.099132002351673909e-25,-4.601792271719833246e-24,6.157652675310249714e-24,-1.184947323246438027e-23,-1.674297032960410849e-24,-1.871313940096996212e-24,-1.038470029523955354e-24,-4.798902808419187783e-26,-4.544270233541423077e-24,-1.415729749622996978e-24,3.190214451309668527e-24,-6.194805844356294896e-24,1.831058491091322983e-24,5.487290818434357469e-24,-2.060740887800161391e-24,-3.355341810315335790e-24,2.085468713480169723e-23,-1.162130287914536558e-24
